"RightRoughTendency_RANKTHISWEEK_2011","RightRoughTendency_RANKLASTWEEK_2011","RightRoughTendency_PLAYERNAME_2011","RightRoughTendency_ROUNDS_2011","RightRoughTendency_Pct_2011","RightRoughTendency_TOTALRIGHTROUGH_2011","RightRoughTendency_POSSIBLEFWYS_2011","RightRoughTendency_RELATIVETOPAR_2011","stat_name","year"
81,81,"Angel Cabrera",50,14.49,70,483,0.23,"RightRoughTendency",2011
82,82,"Steven Bowditch",86,14.54,154,1059,0.12,"RightRoughTendency",2011
83,83,"Kevin Kisner",70,14.58,115,789,0.11,"RightRoughTendency",2011
84,84,"Boo Weekley",66,14.65,116,792,0.11,"RightRoughTendency",2011
85,85,"Bo Van Pelt",92,14.66,145,989,0.14,"RightRoughTendency",2011
86,86,"Justin Rose",79,14.69,129,878,0.09,"RightRoughTendency",2011
87,87,"Brandt Jobe",100,14.72,165,1121,0.04,"RightRoughTendency",2011
88,88,"Steve Flesch",88,14.74,159,1079,0.06,"RightRoughTendency",2011
88,88,"Andres Gonzales",60,14.74,93,631,0.11,"RightRoughTendency",2011
90,90,"Nate Smith",66,14.83,109,735,0.27,"RightRoughTendency",2011
91,91,"William McGirt",103,14.87,189,1271,0.1,"RightRoughTendency",2011
92,92,"Kevin Na",84,14.96,139,929,0.07,"RightRoughTendency",2011
93,93,"Pat Perez",76,14.99,145,967,0.12,"RightRoughTendency",2011
94,94,"Freddie Jacobson",92,15.04,146,971,0.07,"RightRoughTendency",2011
95,95,"Phil Mickelson",79,15.07,121,803,-0.02,"RightRoughTendency",2011
96,96,"Trevor Immelman",84,15.08,139,922,0.05,"RightRoughTendency",2011
97,97,"Bryce Molder",82,15.15,148,977,0.08,"RightRoughTendency",2011
98,98,"Ernie Els",71,15.17,125,824,0.18,"RightRoughTendency",2011
98,98,"Geoff Ogilvy",69,15.17,113,745,0.01,"RightRoughTendency",2011
100,100,"Alex Prugh",82,15.21,148,973,0.14,"RightRoughTendency",2011
101,101,"John Merrick",71,15.23,127,834,0.17,"RightRoughTendency",2011
101,101,"Alexandre Rocha",65,15.23,104,683,0.26,"RightRoughTendency",2011
103,103,"KJ Choi",77,15.28,123,805,0.14,"RightRoughTendency",2011
104,104,"Blake Adams",116,15.34,223,1454,0.12,"RightRoughTendency",2011
105,105,"Kris Blanks",92,15.35,175,1140,0.11,"RightRoughTendency",2011
105,105,"Scott Gutschewski",67,15.35,117,762,0.15,"RightRoughTendency",2011
107,107,"Nick Watney",80,15.37,132,859,-0.03,"RightRoughTendency",2011
108,108,"Michael Bradley",74,15.4,124,805,0.06,"RightRoughTendency",2011
108,108,"Stewart Cink",72,15.4,109,708,0,"RightRoughTendency",2011
110,110,"Jonathan Byrd",83,15.43,154,998,0.12,"RightRoughTendency",2011
110,110,"Martin Piller",63,15.43,110,713,0.15,"RightRoughTendency",2011
112,112,"Tommy Gainey",104,15.45,194,1256,0.1,"RightRoughTendency",2011
113,113,"Sergio Garcia",61,15.48,96,620,0.11,"RightRoughTendency",2011
114,114,"Charley Hoffman",93,15.51,158,1019,-0.03,"RightRoughTendency",2011
115,115,"Matt Bettencourt",84,15.52,164,1057,0.08,"RightRoughTendency",2011
116,116,"Stuart Appleby",65,15.53,128,824,0.07,"RightRoughTendency",2011
117,117,"Steve Marino",76,15.54,133,856,0.07,"RightRoughTendency",2011
118,118,"James Driscoll",71,15.55,130,836,0.21,"RightRoughTendency",2011
119,119,"John Rollins",85,15.56,154,990,0.14,"RightRoughTendency",2011
120,120,"David Duval",67,15.66,124,792,0.09,"RightRoughTendency",2011
121,121,"Robert Karlsson",61,15.69,96,612,-0.01,"RightRoughTendency",2011
122,122,"Ryuji Imada",83,15.73,166,1055,0.22,"RightRoughTendency",2011
123,123,"Cameron Tringale",110,15.83,212,1339,0.08,"RightRoughTendency",2011
124,124,"Retief Goosen",50,15.85,87,549,0.1,"RightRoughTendency",2011
125,125,"Fabian Gomez",84,15.86,150,946,0.16,"RightRoughTendency",2011
126,126,"Sean OHair",71,15.88,132,831,0.18,"RightRoughTendency",2011
127,127,"Bobby Gates",82,15.94,146,916,0.08,"RightRoughTendency",2011
128,128,"Will Strickler",51,15.96,94,589,0.26,"RightRoughTendency",2011
129,129,"Shaun Micheel",77,16.03,142,886,0.18,"RightRoughTendency",2011
130,130,"Matt McQuillan",59,16.04,107,667,0.14,"RightRoughTendency",2011
131,131,"Jeff Overton",92,16.1,162,1006,0.1,"RightRoughTendency",2011
132,132,"Joe Ogilvie",75,16.15,136,842,0.04,"RightRoughTendency",2011
133,133,"DJ Trahan",91,16.18,183,1131,0.12,"RightRoughTendency",2011
134,134,"Daniel Summerhays",75,16.23,147,906,0.33,"RightRoughTendency",2011
135,135,"Vijay Singh",79,16.26,160,984,0.11,"RightRoughTendency",2011
136,136,"Martin Laird",77,16.31,138,846,0.08,"RightRoughTendency",2011
137,137,"Derek Lamely",65,16.56,129,779,0.15,"RightRoughTendency",2011
138,138,"Jason Dufner",78,16.63,150,902,0.09,"RightRoughTendency",2011
139,139,"Gary Woodland",93,16.7,159,952,0.03,"RightRoughTendency",2011
140,140,"Nathan Green",81,16.77,163,972,0.18,"RightRoughTendency",2011
141,141,"Bill Lunde",92,16.85,180,1068,0.13,"RightRoughTendency",2011
141,141,"Jim Renner",65,16.85,123,730,0.08,"RightRoughTendency",2011
143,143,"Kevin Streelman",90,16.9,167,988,0.07,"RightRoughTendency",2011
144,144,"Ryan Palmer",82,16.91,138,816,0.09,"RightRoughTendency",2011
145,145,"JB Holmes",57,16.93,108,638,0.06,"RightRoughTendency",2011
146,146,"Charlie Wi",83,16.97,180,1061,0.04,"RightRoughTendency",2011
147,147,"Troy Merritt",63,16.99,133,783,0.31,"RightRoughTendency",2011
148,148,"Bubba Watson",85,17,137,806,-0.01,"RightRoughTendency",2011
149,149,"Harrison Frazar",58,17.05,96,563,-0.03,"RightRoughTendency",2011
150,150,"Marc Turnesa",54,17.09,108,632,0.11,"RightRoughTendency",2011
151,151,"Rory Sabbatini",85,17.11,143,836,-0.06,"RightRoughTendency",2011
152,152,"Josh Teater",104,17.14,218,1272,0.13,"RightRoughTendency",2011
153,153,"Michael Putnam",67,17.15,124,723,0.15,"RightRoughTendency",2011
154,154,"Rickie Fowler",84,17.16,157,915,0.08,"RightRoughTendency",2011
155,155,"Jim Herman",69,17.17,136,792,0.13,"RightRoughTendency",2011
156,156,"Tim Herron",85,17.23,183,1062,0.06,"RightRoughTendency",2011
156,156,"Michael Thompson",79,17.23,163,946,0.15,"RightRoughTendency",2011
158,158,"Charl Schwartzel",58,17.27,96,556,0.18,"RightRoughTendency",2011
159,159,"Jarrod Lyle",83,17.29,171,989,0.22,"RightRoughTendency",2011
160,160,"DJ Brigman",67,17.31,131,757,0.19,"RightRoughTendency",2011
161,161,"Anthony Kim",72,17.35,135,778,0.07,"RightRoughTendency",2011
162,162,"Troy Matteson",91,17.39,193,1110,0.08,"RightRoughTendency",2011
163,163,"Sung Kang",63,17.45,123,705,0.15,"RightRoughTendency",2011
164,164,"David Hearn",88,17.47,184,1053,0.16,"RightRoughTendency",2011
165,165,"Joseph Bramlett",73,17.63,147,834,0.14,"RightRoughTendency",2011
166,166,"Jhonattan Vegas",84,17.7,169,955,0.14,"RightRoughTendency",2011
167,167,"Chris Kirk",87,17.83,189,1060,0.12,"RightRoughTendency",2011
168,168,"Matt Jones",71,17.89,156,872,0.15,"RightRoughTendency",2011
169,169,"Kyle Stanley",98,17.93,197,1099,-0.01,"RightRoughTendency",2011
170,170,"Camilo Villegas",69,17.98,141,784,0.18,"RightRoughTendency",2011
171,171,"Dustin Johnson",72,18.16,136,749,-0.01,"RightRoughTendency",2011
172,172,"Tag Ridings",87,18.25,186,1019,0.15,"RightRoughTendency",2011
173,173,"Greg Chalmers",88,18.31,199,1087,0.1,"RightRoughTendency",2011
174,174,"Chris Stroud",88,18.49,199,1076,0.07,"RightRoughTendency",2011
175,175,"Kevin Chappell",78,18.57,156,840,0.07,"RightRoughTendency",2011
176,176,"Jason Day",76,18.87,154,816,0.16,"RightRoughTendency",2011
177,177,"Jimmy Walker",79,19.08,198,1038,0.09,"RightRoughTendency",2011
178,178,"Aaron Baddeley",77,19.36,164,847,0.07,"RightRoughTendency",2011
179,179,"Scott Piercy",78,19.56,169,864,0.1,"RightRoughTendency",2011
180,180,"Robert Garrigus",83,19.7,186,944,0.05,"RightRoughTendency",2011
181,181,"Zack Miller",86,19.86,204,1027,0.22,"RightRoughTendency",2011
182,182,"George McNeill",69,19.97,159,796,0.09,"RightRoughTendency",2011
183,183,"Bio Kim",71,20.31,158,778,0.16,"RightRoughTendency",2011
184,184,"Charles Howell III",108,20.56,256,1245,0.08,"RightRoughTendency",2011
185,185,"Marc Leishman",87,20.73,226,1090,0.08,"RightRoughTendency",2011
186,186,"Scott Stallings",84,21.22,201,947,0.05,"RightRoughTendency",2011
